county_x,staffed_all_beds,staffed_icu_beds,licensed_all_beds,all_bed_occupancy_rate,icu_bed_occupancy_rate,population,population_20,population_65,staffed_all_beds_[per_1000_people],staffed_all_beds_[per_1000_adults_20+],staffed_all_beds_[per_1000_elderly_65+],staffed_icu_beds_[per_1000_people],staffed_icu_beds_[per_1000_adults_20+],staffed_icu_beds_[per_1000_elderly_65+],licensed_all_beds_per_1000_people,licensed_all_beds_[per_1000_adults_20+],licensed_all_beds_[per_1000_elderly_65+],state,cases,deaths
Archuleta,11.0,0.0,11.0,0.29,0.0,13765.0,11049.0,3585.0,0.799,0.996,3.068,0.0,0.0,0.0,0.799,0.996,3.068,Colorado,9.0,0.0
Arecibo,172.0,8.0,172.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Arenac,25.0,5.0,25.0,0.12,0.0,15041.0,12051.0,3747.0,1.662,2.075,6.672000000000001,0.332,0.415,1.334,1.662,2.075,6.672000000000001,Michigan,13.0,1.0
Arkansas,74.0,0.0,74.0,0.16,0.0,17769.0,13332.0,3484.0,4.165,5.551,21.24,0.0,0.0,0.0,4.165,5.551,21.24,Arkansas,2.0,0.0
Arlington,305.0,32.0,394.0,0.87,0.5,237521.0,191210.0,25209.0,1.284,1.595,12.099,0.135,0.16699999999999998,1.2690000000000001,1.659,2.061,15.629000000000001,Virginia,625.0,23.0
Armstrong,131.0,12.0,147.0,0.32,0.32,65263.0,51541.0,14338.0,2.0069999999999997,2.542,9.137,0.184,0.233,0.8370000000000001,2.252,2.852,10.252,Pennsylvania,39.0,2.0
Aroostook,166.0,12.0,240.0,0.46,0.44,67111.0,53371.0,16196.0,2.474,3.11,10.249,0.179,0.225,0.741,3.576,4.497,14.818,Maine,2.0,0.0
Arroyo,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Ascension,131.0,7.0,131.0,0.44,0.39,124672.0,88366.0,14734.0,1.051,1.482,8.891,0.055999999999999994,0.079,0.475,1.051,1.482,8.891,Louisiana,533.0,33.0
Ashe,25.0,0.0,76.0,0.52,0.0,27109.0,21832.0,6967.0,0.922,1.145,3.588,0.0,0.0,0.0,2.803,3.4810000000000003,10.909,North Carolina,4.0,0.0
Ashland,39.0,6.0,123.0,0.57,0.47,53745.0,39755.0,10056.0,0.726,0.981,3.878,0.11199999999999999,0.151,0.597,2.289,3.094,12.232000000000001,Ohio,5.0,0.0
Ashland,25.0,0.0,35.0,0.47,0.0,15600.0,11710.0,3055.0,1.6030000000000002,2.135,8.183,0.0,0.0,0.0,2.244,2.989,11.457,Wisconsin,2.0,0.0
Ashley,25.0,6.0,33.0,0.42,0.21,20046.0,15032.0,4081.0,1.247,1.663,6.126,0.299,0.39899999999999997,1.47,1.646,2.195,8.086,Arkansas,13.0,0.0
Ashtabula,286.0,19.0,431.0,0.58,0.49,97493.0,73915.0,18589.0,2.9339999999999997,3.8689999999999998,15.385,0.195,0.257,1.022,4.421,5.831,23.186,Ohio,80.0,6.0
Asotin,25.0,0.0,62.0,0.48,0.0,22610.0,17606.0,5272.0,1.1059999999999999,1.42,4.742,0.0,0.0,0.0,2.742,3.522,11.76,Washington,14.0,1.0
Assumption,0.0,0.0,6.0,0.0,0.0,22300.0,17021.0,4020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26899999999999996,0.353,1.493,Louisiana,154.0,1.0
Atascosa,67.0,6.0,67.0,0.21,0.21,50310.0,35240.0,7385.0,1.3319999999999999,1.901,9.072000000000001,0.11900000000000001,0.17,0.812,1.3319999999999999,1.901,9.072000000000001,Texas,14.0,1.0
Atchison,25.0,4.0,25.0,0.41,0.27,16193.0,11600.0,2779.0,1.544,2.155,8.996,0.247,0.345,1.439,1.544,2.155,8.996,Kansas,6.0,0.0
Atchison,0.0,0.0,18.0,0.0,0.0,5171.0,4053.0,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4810000000000003,4.441,13.687999999999999,Missouri,2.0,0.0
